subject_id,question,block_num,diatonic,chromatic,unique_diatonic,unique_chromatic,necklace,scale,mode,fragment_generic,fragment_specific,fragment_span,order,transposition,fragment_file,option1_file,option2_file
sVgMEG0001,1,15,"5,1,3,5,1,-2,-1,1,-2,-6,-4,-2,-6,-9,-7,-6,-9","5,1,3,5,1,-3,-1,1,-3,-7,-5,-3,-7,-11,-9,-7,-11",7,6,"0,2,4,5,7,9,11","0,1,3,5,6,8,10",6,"-2,1,1,-2","-4,2,2,-4",-2,"chromatic,diatonic",5,Q-309-000-fragment.wav,Q-309-001-chromatic.wav,Q-309-002-diatonic.wav
sVgMEG0001,2,15,"6,8,4,6,8,9,6,8,9,11,8,9,11,13,9,11,13","6,8,4,6,8,10,6,8,10,12,8,10,12,14,10,12,14",6,6,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"1,-2,1,1","2,-4,2,2",1,"diatonic,chromatic",6,Q-310-000-fragment.wav,Q-310-001-diatonic.wav,Q-310-002-chromatic.wav
sVgMEG0001,3,15,"6,7,6,7,9,11,9,11,13,14,13,14,16,18,16,18,19","6,7,6,7,9,10,9,10,12,13,12,13,15,16,15,16,18",7,8,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"1,-1,1,1","1,-1,1,2",2,"diatonic,chromatic",6,Q-311-000-fragment.wav,Q-311-001-diatonic.wav,Q-311-002-chromatic.wav
sVgMEG0001,4,15,"3,2,3,7,5,3,5,9,7,5,7,10,9,7,9,12,10","3,2,3,7,5,4,5,9,7,6,7,11,9,8,9,13,11",7,10,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-1,1,2,-1","-1,1,4,-2",1,"diatonic,chromatic",3,Q-312-000-fragment.wav,Q-312-001-diatonic.wav,Q-312-002-chromatic.wav
sVgMEG0001,5,15,"6,10,8,6,8,11,10,8,10,13,11,10,11,15,13,11,13","6,10,8,6,8,12,10,8,10,14,12,10,12,16,14,12,14",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"2,-1,-1,1","4,-2,-2,2",1,"diatonic,chromatic",6,Q-313-000-fragment.wav,Q-313-001-diatonic.wav,Q-313-002-chromatic.wav
sVgMEG0001,6,15,"1,4,1,-3,-1,2,-1,-4,-3,1,-3,-6,-4,-1,-4,-8,-6","1,4,1,-3,-1,2,-1,-5,-3,0,-3,-7,-5,-2,-5,-9,-7",7,10,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"2,-2,-2,1","3,-3,-4,2",-1,"chromatic,diatonic",1,Q-314-000-fragment.wav,Q-314-001-chromatic.wav,Q-314-002-diatonic.wav
sVgMEG0001,7,15,"4,1,-1,3,1,-2,-4,-1,-2,-6,-8,-4,-6,-9,-11,-8,-9","4,1,-1,3,1,-2,-4,0,-2,-5,-7,-3,-5,-8,-10,-6,-8",7,12,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-2,-1,2,-1","-3,-2,4,-2",-2,"diatonic,chromatic",4,Q-315-000-fragment.wav,Q-315-001-diatonic.wav,Q-315-002-chromatic.wav
sVgMEG0001,8,15,"0,-2,2,5,2,0,4,7,4,2,5,9,5,4,7,10,7","0,-2,2,5,2,0,4,7,4,2,6,9,6,4,8,11,8",7,10,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-1,2,2,-2","-2,4,3,-3",1,"diatonic,chromatic",0,Q-316-000-fragment.wav,Q-316-001-diatonic.wav,Q-316-002-chromatic.wav
sVgMEG0001,9,15,"3,1,5,1,0,-2,1,-2,-4,-5,-2,-5,-7,-9,-5,-9,-11","3,1,5,1,0,-2,2,-2,-3,-5,-1,-5,-6,-8,-4,-8,-9",7,12,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-1,2,-2,-1","-2,4,-4,-1",-2,"chromatic,diatonic",3,Q-317-000-fragment.wav,Q-317-001-chromatic.wav,Q-317-002-diatonic.wav
sVgMEG0001,10,15,"4,2,6,4,2,1,4,2,1,-1,2,1,-1,-3,1,-1,-3","4,2,6,4,2,0,4,2,0,-2,2,0,-2,-4,0,-2,-4",6,6,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"-1,2,-1,-1","-2,4,-2,-2",-1,"diatonic,chromatic",4,Q-318-000-fragment.wav,Q-318-001-diatonic.wav,Q-318-002-chromatic.wav
sVgMEG0001,11,15,"6,4,8,11,9,8,11,15,13,11,15,18,16,15,18,21,20","6,4,8,11,9,7,11,14,12,10,14,17,15,13,17,20,18",7,12,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"-1,2,2,-1","-2,4,3,-2",2,"diatonic,chromatic",6,Q-319-000-fragment.wav,Q-319-001-diatonic.wav,Q-319-002-chromatic.wav
sVgMEG0001,12,15,"2,0,-1,2,4,2,0,4,5,4,2,5,7,5,4,7,9","2,0,-1,2,4,2,1,4,6,4,3,6,8,6,5,8,10",7,10,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"-1,-1,2,1","-2,-1,3,2",1,"diatonic,chromatic",2,Q-320-000-fragment.wav,Q-320-001-diatonic.wav,Q-320-002-chromatic.wav
sVgMEG0001,13,15,"1,3,1,3,4,6,4,6,8,10,8,10,11,13,11,13,15","1,3,1,3,4,6,4,6,7,9,7,9,10,12,10,12,13",7,8,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"1,-1,1,1","2,-2,2,1",2,"chromatic,diatonic",1,Q-321-000-fragment.wav,Q-321-001-chromatic.wav,Q-321-002-diatonic.wav
sVgMEG0001,14,15,"3,5,1,0,1,3,0,-2,0,1,-2,-4,-2,0,-4,-5,-4","3,5,1,0,1,3,-1,-2,-1,1,-3,-4,-3,-1,-5,-6,-5",7,10,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"1,-2,-1,1","2,-4,-1,1",-1,"chromatic,diatonic",3,Q-322-000-fragment.wav,Q-322-001-chromatic.wav,Q-322-002-diatonic.wav
sVgMEG0001,15,15,"2,0,3,0,3,2,5,2,5,3,7,3,7,5,8,5,8","2,0,3,0,3,1,4,1,4,2,5,2,5,3,6,3,6",6,7,"0,2,4,5,7,9,11","0,1,3,5,6,8,10",6,"-1,2,-2,2","-2,3,-3,3",1,"diatonic,chromatic",2,Q-323-000-fragment.wav,Q-323-001-diatonic.wav,Q-323-002-chromatic.wav
sVgMEG0001,16,15,"2,6,4,1,-1,2,1,-3,-5,-1,-3,-6,-8,-5,-6,-10,-11","2,6,4,1,-1,3,1,-2,-4,0,-2,-5,-7,-3,-5,-8,-10",7,12,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"2,-1,-2,-1","4,-2,-3,-2",-2,"diatonic,chromatic",2,Q-324-000-fragment.wav,Q-324-001-diatonic.wav,Q-324-002-chromatic.wav
sVgMEG0001,17,15,"2,5,4,0,4,7,5,2,5,9,7,4,7,11,9,5,9","2,5,4,0,4,7,6,2,6,9,8,4,8,11,10,6,10",7,10,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"2,-1,-2,2","3,-1,-4,4",1,"chromatic,diatonic",2,Q-325-000-fragment.wav,Q-325-001-chromatic.wav,Q-325-002-diatonic.wav
sVgMEG0001,18,15,"3,1,3,6,4,3,4,8,6,4,6,10,8,6,8,11,10","3,1,3,6,4,2,4,7,5,3,5,8,6,4,6,9,7",7,9,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"-1,1,2,-1","-2,2,3,-2",1,"diatonic,chromatic",3,Q-326-000-fragment.wav,Q-326-001-diatonic.wav,Q-326-002-chromatic.wav
sVgMEG0001,19,15,"1,-2,1,5,3,-1,3,6,5,1,5,8,6,3,6,10,8","1,-2,1,5,3,0,3,7,5,2,5,9,7,4,7,11,9",7,10,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-2,2,2,-1","-3,3,4,-2",1,"diatonic,chromatic",1,Q-327-000-fragment.wav,Q-327-001-diatonic.wav,Q-327-002-chromatic.wav
sVgMEG0001,20,15,"5,7,9,5,7,9,10,7,9,10,12,9,10,12,14,10,12","5,7,9,5,7,9,11,7,9,11,13,9,11,13,15,11,13",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"1,1,-2,1","2,2,-4,2",1,"diatonic,chromatic",5,Q-328-000-fragment.wav,Q-328-001-diatonic.wav,Q-328-002-chromatic.wav
