subject_id,question,block_num,diatonic,chromatic,unique_diatonic,unique_chromatic,necklace,scale,mode,fragment_generic,fragment_specific,fragment_span,order,transposition,fragment_file,option1_file,option2_file
sVgMEG0001,1,5,"5,2,3,5,2,-2,0,2,-2,-5,-3,-2,-5,-9,-7,-5,-9","5,2,3,5,2,-1,0,2,-1,-4,-3,-1,-4,-7,-6,-4,-7",7,8,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-2,1,1,-2","-3,1,2,-3",-2,"diatonic,chromatic",5,Q-89-000-fragment.wav,Q-89-001-diatonic.wav,Q-89-002-chromatic.wav
sVgMEG0001,2,5,"2,6,4,1,4,7,6,2,6,9,7,4,7,11,9,6,9","2,6,4,1,4,8,6,3,6,10,8,5,8,12,10,7,10",7,10,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"2,-1,-2,2","4,-2,-3,3",1,"chromatic,diatonic",2,Q-90-000-fragment.wav,Q-90-001-chromatic.wav,Q-90-002-diatonic.wav
sVgMEG0001,3,5,"2,4,6,2,6,7,9,6,9,11,12,9,12,14,16,12,16","2,4,6,2,6,8,10,6,10,12,14,10,14,16,18,14,18",7,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"1,1,-2,2","2,2,-4,4",2,"chromatic,diatonic",2,Q-91-000-fragment.wav,Q-91-001-chromatic.wav,Q-91-002-diatonic.wav
sVgMEG0001,4,5,"6,4,8,4,8,6,10,6,10,8,11,8,11,10,13,10,13","6,4,8,4,8,6,10,6,10,8,12,8,12,10,14,10,14",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-1,2,-2,2","-2,4,-4,4",1,"chromatic,diatonic",6,Q-92-000-fragment.wav,Q-92-001-chromatic.wav,Q-92-002-diatonic.wav
sVgMEG0001,5,5,"3,-1,3,6,4,1,4,8,6,3,6,10,8,4,8,11,10","3,-1,3,6,4,0,4,7,5,1,5,8,6,2,6,9,7",7,11,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"-2,2,2,-1","-4,4,3,-2",1,"chromatic,diatonic",3,Q-93-000-fragment.wav,Q-93-001-chromatic.wav,Q-93-002-diatonic.wav
sVgMEG0001,6,5,"1,-1,1,2,4,2,4,6,8,6,8,9,11,9,11,13,14","1,-1,1,2,4,2,4,5,7,5,7,8,10,8,10,11,13",7,8,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"-1,1,1,1","-2,2,1,2",2,"diatonic,chromatic",1,Q-94-000-fragment.wav,Q-94-001-diatonic.wav,Q-94-002-chromatic.wav
sVgMEG0001,7,5,"3,2,5,2,0,-2,2,-2,-3,-5,-2,-5,-7,-9,-5,-9,-10","3,2,5,2,0,-1,2,-1,-3,-4,-1,-4,-6,-7,-4,-7,-9",7,8,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-1,2,-2,-1","-1,3,-3,-2",-2,"diatonic,chromatic",3,Q-95-000-fragment.wav,Q-95-001-diatonic.wav,Q-95-002-chromatic.wav
sVgMEG0001,8,5,"2,6,4,2,4,7,6,4,6,9,7,6,7,11,9,7,9","2,6,4,2,4,8,6,4,6,10,8,6,8,12,10,8,10",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"2,-1,-1,1","4,-2,-2,2",1,"chromatic,diatonic",2,Q-96-000-fragment.wav,Q-96-001-chromatic.wav,Q-96-002-diatonic.wav
sVgMEG0001,9,5,"4,2,6,2,6,4,7,4,7,6,9,6,9,7,11,7,11","4,2,6,2,6,4,8,4,8,6,10,6,10,8,12,8,12",6,6,"0,2,4,5,7,9,11","0,2,3,5,7,8,10",5,"-1,2,-2,2","-2,4,-4,4",1,"chromatic,diatonic",4,Q-97-000-fragment.wav,Q-97-001-chromatic.wav,Q-97-002-diatonic.wav
sVgMEG0001,10,5,"3,0,-4,0,2,-2,-5,-2,0,-4,-7,-4,-2,-5,-9,-5,-4","3,0,-4,0,2,-1,-5,-1,1,-2,-6,-2,0,-3,-7,-3,-1",7,11,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"-2,-2,2,1","-3,-4,4,2",-1,"diatonic,chromatic",3,Q-98-000-fragment.wav,Q-98-001-diatonic.wav,Q-98-002-chromatic.wav
sVgMEG0001,11,5,"4,2,4,2,5,4,5,4,7,5,7,5,9,7,9,7,11","4,2,4,2,5,3,5,3,6,4,6,4,7,5,7,5,8",6,7,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"-1,1,-1,2","-2,2,-2,3",1,"diatonic,chromatic",4,Q-99-000-fragment.wav,Q-99-001-diatonic.wav,Q-99-002-chromatic.wav
sVgMEG0001,12,5,"0,3,0,-3,-2,2,-2,-5,-3,0,-3,-7,-5,-2,-5,-9,-7","0,3,0,-3,-2,1,-2,-5,-4,-1,-4,-7,-6,-3,-6,-9,-8",7,11,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"2,-2,-2,1","3,-3,-3,1",-1,"chromatic,diatonic",0,Q-100-000-fragment.wav,Q-100-001-chromatic.wav,Q-100-002-diatonic.wav
sVgMEG0001,13,5,"0,2,5,2,4,5,9,5,7,9,12,9,10,12,16,12,14","0,2,5,2,4,6,9,6,8,10,13,10,12,14,17,14,16",7,9,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"1,2,-2,1","2,3,-3,2",2,"diatonic,chromatic",0,Q-101-000-fragment.wav,Q-101-001-diatonic.wav,Q-101-002-chromatic.wav
sVgMEG0001,14,5,"2,6,4,2,4,8,6,4,6,9,8,6,8,11,9,8,9","2,6,4,2,4,8,6,4,6,10,8,6,8,12,10,8,10",6,6,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"2,-1,-1,1","4,-2,-2,2",1,"chromatic,diatonic",2,Q-102-000-fragment.wav,Q-102-001-chromatic.wav,Q-102-002-diatonic.wav
