subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,71,8,"4,2,9,4,12,14,9,7,9,14,12,2","4,2,9,4,12,9,14,7,9,14,12,2","4,2,9,4,12,13,9,7,9,14,12,2",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,5,7,10",1,2,Q-71-000-probe.wav,Q-71-001-shifted.wav,Q-71-002-swapped.wav
MEGp2000,2,72,8,"7,2,9,7,0,-3,2,4,2,7,4,9","7,2,9,7,0,2,-3,4,2,7,4,9","7,2,9,7,0,-2,2,4,2,7,4,9",,1,5,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,-3,Q-72-000-probe.wav,Q-72-001-swapped.wav,Q-72-002-shifted.wav
MEGp2000,3,73,8,"7,8,7,8,-1,6,-3,-1,7,8,-1,8","7,8,7,8,-1,-3,6,-1,7,8,-1,8","7,8,7,8,-1,5,-3,-1,7,8,-1,8",,-1,5,"0,1,2,3,5","swapped,shifted","0,2,9,10,11",3,-3,Q-73-000-probe.wav,Q-73-001-swapped.wav,Q-73-002-shifted.wav
MEGp2000,4,74,8,"0,3,1,0,3,0,5,2,0,2,0,2","0,3,1,0,3,5,0,2,0,2,0,2","0,3,1,0,3,0,4,2,0,2,0,2",,-1,6,"0,1,2,3,5","shifted,swapped","0,1,2,3,5",0,0,Q-74-000-probe.wav,Q-74-001-shifted.wav,Q-74-002-swapped.wav
MEGp2000,5,75,8,"7,9,7,11,7,11,9,8,11,-1,6,9","7,9,7,11,7,9,11,8,11,-1,6,9","7,9,7,11,7,12,9,8,11,-1,6,9",,1,5,"0,1,2,3,5","swapped,shifted","0,7,8,9,10",4,-1,Q-75-000-probe.wav,Q-75-001-swapped.wav,Q-75-002-shifted.wav
MEGp2000,6,76,8,"11,13,6,9,13,6,1,11,9,13,1,4","11,13,6,9,13,1,6,11,9,13,1,4","11,13,6,9,13,7,1,11,9,13,1,4",,1,5,"0,2,4,7,9","swapped,shifted","0,3,5,8,10",2,1,Q-76-000-probe.wav,Q-76-001-swapped.wav,Q-76-002-shifted.wav
MEGp2000,7,77,8,"-1,-3,2,-3,-1,9,4,7,4,2,4,-1","-1,-3,2,-3,-1,4,9,7,4,2,4,-1","-1,-3,2,-3,-1,8,4,7,4,2,4,-1",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,5,7,10",1,-3,Q-77-000-probe.wav,Q-77-001-shifted.wav,Q-77-002-swapped.wav
MEGp2000,8,78,8,"0,2,0,4,0,4,11,12,4,0,12,1","0,2,0,4,0,11,4,12,4,0,12,1","0,2,0,4,0,5,11,12,4,0,12,1",,1,5,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,0,Q-78-000-probe.wav,Q-78-001-shifted.wav,Q-78-002-swapped.wav
MEGp2000,9,79,8,"1,-2,-1,-2,-1,8,1,9,-1,8,1,-1","1,-2,-1,-2,-1,1,8,9,-1,8,1,-1","1,-2,-1,-2,-1,8,2,9,-1,8,1,-1",,1,6,"0,1,2,3,5","swapped,shifted","0,1,3,10,11",2,-2,Q-79-000-probe.wav,Q-79-001-swapped.wav,Q-79-002-shifted.wav
MEGp2000,10,80,8,"3,6,8,13,8,1,11,13,3,13,11,13","3,6,8,13,8,11,1,13,3,13,11,13","3,6,8,13,8,1,12,13,3,13,11,13",,1,6,"0,2,4,7,9","swapped,shifted","0,2,5,7,10",1,1,Q-80-000-probe.wav,Q-80-001-swapped.wav,Q-80-002-shifted.wav
