subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,1,1,"6,8,6,13,4,6,11,4,11,6,8,6","6,8,6,13,4,11,6,4,11,6,8,6","6,8,6,13,4,6,12,4,11,6,8,6",,1,6,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,1,Q-1-000-probe.wav,Q-1-001-swapped.wav,Q-1-002-shifted.wav
MEGp2000,2,2,1,"0,-1,1,-2,3,-1,-2,1,-1,3,-2,1","0,-1,1,-2,3,-2,-1,1,-1,3,-2,1","0,-1,1,-2,3,-1,-3,1,-1,3,-2,1",,-1,6,"0,1,2,3,5","swapped,shifted","0,1,2,3,5",0,-2,Q-2-000-probe.wav,Q-2-001-swapped.wav,Q-2-002-shifted.wav
MEGp2000,3,3,1,"7,2,9,7,12,9,7,5,14,7,2,5","7,2,9,7,12,7,9,5,14,7,2,5","7,2,9,7,12,9,6,5,14,7,2,5",,-1,6,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,2,Q-3-000-probe.wav,Q-3-001-swapped.wav,Q-3-002-shifted.wav
MEGp2000,4,4,1,"3,0,3,7,12,10,3,0,3,5,12,5","3,0,3,7,12,3,10,0,3,5,12,5","3,0,3,7,12,9,3,0,3,5,12,5",,-1,5,"0,2,4,7,9","shifted,swapped","0,3,5,7,10",4,0,Q-4-000-probe.wav,Q-4-001-shifted.wav,Q-4-002-swapped.wav
MEGp2000,5,5,1,"6,2,6,2,4,6,13,2,3,4,3,13","6,2,6,2,4,13,6,2,3,4,3,13","6,2,6,2,4,7,13,2,3,4,3,13",,1,5,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,2,Q-5-000-probe.wav,Q-5-001-shifted.wav,Q-5-002-swapped.wav
MEGp2000,6,6,1,"4,2,4,1,2,4,13,2,13,12,11,12","4,2,4,1,2,13,4,2,13,12,11,12","4,2,4,1,2,5,13,2,13,12,11,12",,1,5,"0,1,2,3,5","swapped,shifted","0,1,3,10,11",2,1,Q-6-000-probe.wav,Q-6-001-swapped.wav,Q-6-002-shifted.wav
MEGp2000,7,7,1,"6,4,6,3,4,6,15,4,14,3,14,13","6,4,6,3,4,15,6,4,14,3,14,13","6,4,6,3,4,5,15,4,14,3,14,13",,-1,5,"0,1,2,3,5","swapped,shifted","0,1,3,10,11",2,3,Q-7-000-probe.wav,Q-7-001-swapped.wav,Q-7-002-shifted.wav
MEGp2000,8,8,1,"11,9,12,10,12,2,0,11,2,9,11,12","11,9,12,10,12,0,2,11,2,9,11,12","11,9,12,10,12,1,0,11,2,9,11,12",,-1,5,"0,1,2,3,5","swapped,shifted","0,2,9,10,11",3,0,Q-8-000-probe.wav,Q-8-001-swapped.wav,Q-8-002-shifted.wav
MEGp2000,9,9,1,"2,-3,4,9,7,4,-1,2,7,-3,2,9","2,-3,4,9,7,-1,4,2,7,-3,2,9","2,-3,4,9,7,3,-1,2,7,-3,2,9",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,5,7,10",1,-3,Q-9-000-probe.wav,Q-9-001-shifted.wav,Q-9-002-swapped.wav
MEGp2000,10,10,1,"12,10,5,7,3,7,10,5,7,10,3,7","12,10,5,7,3,10,7,5,7,10,3,7","12,10,5,7,3,6,10,5,7,10,3,7",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,4,7,9",0,3,Q-10-000-probe.wav,Q-10-001-shifted.wav,Q-10-002-swapped.wav
