subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,31,4,"-1,-2,-1,1,0,3,1,-2,3,10,-1,10","-1,-2,-1,1,0,1,3,-2,3,10,-1,10","-1,-2,-1,1,0,3,2,-2,3,10,-1,10",,1,6,"0,1,2,3,5","shifted,swapped","0,1,2,3,5",0,-2,Q-31-000-probe.wav,Q-31-001-shifted.wav,Q-31-002-swapped.wav
MEGp2000,2,32,4,"12,14,11,12,4,11,12,4,12,13,12,13","12,14,11,12,4,12,11,4,12,13,12,13","12,14,11,12,4,10,12,4,12,13,12,13",,-1,5,"0,1,2,3,5","swapped,shifted","0,2,9,10,11",3,2,Q-32-000-probe.wav,Q-32-001-swapped.wav,Q-32-002-shifted.wav
MEGp2000,3,33,4,"14,9,14,11,4,2,9,4,14,4,14,6","14,9,14,11,4,9,2,4,14,4,14,6","14,9,14,11,4,2,8,4,14,4,14,6",,-1,6,"0,2,4,7,9","swapped,shifted","0,2,4,7,9",0,2,Q-33-000-probe.wav,Q-33-001-swapped.wav,Q-33-002-shifted.wav
MEGp2000,4,34,4,"-2,5,10,8,5,6,-2,7,8,7,-2,10","-2,5,10,8,5,-2,6,7,8,7,-2,10","-2,5,10,8,5,6,-1,7,8,7,-2,10",,1,6,"0,1,2,3,5","swapped,shifted","0,7,8,9,10",4,-2,Q-34-000-probe.wav,Q-34-001-swapped.wav,Q-34-002-shifted.wav
MEGp2000,5,35,4,"8,10,12,8,10,9,12,0,8,9,12,7","8,10,12,8,10,12,9,0,8,9,12,7","8,10,12,8,10,9,13,0,8,9,12,7",,1,6,"0,1,2,3,5","shifted,swapped","0,7,8,9,10",4,0,Q-35-000-probe.wav,Q-35-001-shifted.wav,Q-35-002-swapped.wav
MEGp2000,6,36,4,"-2,-3,1,9,1,-2,8,-1,-2,1,8,1","-2,-3,1,9,1,8,-2,-1,-2,1,8,1","-2,-3,1,9,1,-2,7,-1,-2,1,8,1",,-1,6,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,-3,Q-36-000-probe.wav,Q-36-001-shifted.wav,Q-36-002-swapped.wav
MEGp2000,7,37,4,"1,-2,1,-2,1,3,8,6,8,10,6,1","1,-2,1,-2,1,8,3,6,8,10,6,1","1,-2,1,-2,1,2,8,6,8,10,6,1",,-1,5,"0,2,4,7,9","shifted,swapped","0,3,5,8,10",2,-2,Q-37-000-probe.wav,Q-37-001-shifted.wav,Q-37-002-swapped.wav
MEGp2000,8,38,4,"10,5,3,7,12,10,5,7,5,15,10,5","10,5,3,7,12,5,10,7,5,15,10,5","10,5,3,7,12,9,5,7,5,15,10,5",,-1,5,"0,2,4,7,9","swapped,shifted","0,2,4,7,9",0,3,Q-38-000-probe.wav,Q-38-001-swapped.wav,Q-38-002-shifted.wav
MEGp2000,9,39,4,"7,4,7,2,4,7,0,9,0,7,-3,7","7,4,7,2,4,0,7,9,0,7,-3,7","7,4,7,2,4,7,1,9,0,7,-3,7",,1,6,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,-3,Q-39-000-probe.wav,Q-39-001-swapped.wav,Q-39-002-shifted.wav
MEGp2000,10,40,4,"7,3,0,3,10,7,3,0,7,5,7,10","7,3,0,3,10,3,7,0,7,5,7,10","7,3,0,3,10,7,4,0,7,5,7,10",,1,6,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,0,Q-40-000-probe.wav,Q-40-001-swapped.wav,Q-40-002-shifted.wav
