subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,21,3,"4,9,6,9,4,-3,6,9,6,-3,2,-1","4,9,6,9,4,6,-3,9,6,-3,2,-1","4,9,6,9,4,-3,5,9,6,-3,2,-1",,-1,6,"0,2,4,7,9","swapped,shifted","0,2,5,7,9",3,-3,Q-21-000-probe.wav,Q-21-001-swapped.wav,Q-21-002-shifted.wav
MEGp2000,2,22,3,"8,9,8,9,8,-1,1,-2,-3,1,9,8","8,9,8,9,8,1,-1,-2,-3,1,9,8","8,9,8,9,8,-1,0,-2,-3,1,9,8",,-1,6,"0,1,2,3,5","swapped,shifted","0,1,2,4,11",1,-3,Q-22-000-probe.wav,Q-22-001-swapped.wav,Q-22-002-shifted.wav
MEGp2000,3,23,3,"-2,2,0,-2,2,-2,5,2,10,2,7,0","-2,2,0,-2,2,5,-2,2,10,2,7,0","-2,2,0,-2,2,-3,5,2,10,2,7,0",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,4,7,9",0,-2,Q-23-000-probe.wav,Q-23-001-shifted.wav,Q-23-002-swapped.wav
MEGp2000,4,24,3,"10,12,8,5,10,15,12,5,10,12,8,12","10,12,8,5,10,12,15,5,10,12,8,12","10,12,8,5,10,15,13,5,10,12,8,12",,1,6,"0,2,4,7,9","swapped,shifted","0,2,5,7,9",3,3,Q-24-000-probe.wav,Q-24-001-swapped.wav,Q-24-002-shifted.wav
MEGp2000,5,25,3,"9,11,4,11,4,14,9,6,9,14,4,2","9,11,4,11,4,9,14,6,9,14,4,2","9,11,4,11,4,15,9,6,9,14,4,2",,1,5,"0,2,4,7,9","swapped,shifted","0,2,4,7,9",0,2,Q-25-000-probe.wav,Q-25-001-swapped.wav,Q-25-002-shifted.wav
MEGp2000,6,26,3,"-3,0,5,9,2,7,5,9,7,2,9,7","-3,0,5,9,2,5,7,9,7,2,9,7","-3,0,5,9,2,7,6,9,7,2,9,7",,1,6,"0,2,4,7,9","swapped,shifted","0,3,5,8,10",2,-3,Q-26-000-probe.wav,Q-26-001-swapped.wav,Q-26-002-shifted.wav
MEGp2000,7,27,3,"14,15,14,15,14,7,5,4,3,7,14,7","14,15,14,15,14,5,7,4,3,7,14,7","14,15,14,15,14,7,6,4,3,7,14,7",,1,6,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,3,Q-27-000-probe.wav,Q-27-001-shifted.wav,Q-27-002-swapped.wav
MEGp2000,8,28,3,"6,4,6,14,13,4,6,15,6,13,14,6","6,4,6,14,13,6,4,15,6,13,14,6","6,4,6,14,13,5,6,15,6,13,14,6",,1,5,"0,1,2,3,5","swapped,shifted","0,1,3,10,11",2,3,Q-28-000-probe.wav,Q-28-001-swapped.wav,Q-28-002-shifted.wav
MEGp2000,9,29,3,"11,10,3,11,12,3,11,10,11,12,13,11","11,10,3,11,12,11,3,10,11,12,13,11","11,10,3,11,12,4,11,10,11,12,13,11",,1,5,"0,1,2,3,5","swapped,shifted","0,2,9,10,11",3,1,Q-29-000-probe.wav,Q-29-001-swapped.wav,Q-29-002-shifted.wav
MEGp2000,10,30,3,"15,14,15,14,15,5,7,14,4,7,4,7","15,14,15,14,15,7,5,14,4,7,4,7","15,14,15,14,15,5,6,14,4,7,4,7",,-1,6,"0,1,2,3,5","swapped,shifted","0,1,2,4,11",1,3,Q-30-000-probe.wav,Q-30-001-swapped.wav,Q-30-002-shifted.wav
