subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,11,2,"0,2,3,1,0,5,3,2,1,12,5,12","0,2,3,1,0,3,5,2,1,12,5,12","0,2,3,1,0,5,4,2,1,12,5,12",,1,6,"0,1,2,3,5","shifted,swapped","0,1,2,3,5",0,0,Q-11-000-probe.wav,Q-11-001-shifted.wav,Q-11-002-swapped.wav
MEGp2000,2,12,2,"10,5,1,3,10,3,13,5,8,1,13,10","10,5,1,3,10,13,3,5,8,1,13,10","10,5,1,3,10,2,13,5,8,1,13,10",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,4,7,9",0,1,Q-12-000-probe.wav,Q-12-001-shifted.wav,Q-12-002-swapped.wav
MEGp2000,3,13,2,"0,5,2,-3,5,7,-3,0,9,5,-3,9","0,5,2,-3,5,-3,7,0,9,5,-3,9","0,5,2,-3,5,7,-2,0,9,5,-3,9",,1,6,"0,2,4,7,9","swapped,shifted","0,3,5,8,10",2,-3,Q-13-000-probe.wav,Q-13-001-swapped.wav,Q-13-002-shifted.wav
MEGp2000,4,14,2,"10,11,10,11,10,11,3,0,1,3,11,-1","10,11,10,11,10,3,11,0,1,3,11,-1","10,11,10,11,10,11,4,0,1,3,11,-1",,1,6,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,-1,Q-14-000-probe.wav,Q-14-001-shifted.wav,Q-14-002-swapped.wav
MEGp2000,5,15,2,"-1,-2,-1,0,9,2,0,-3,0,-2,0,2","-1,-2,-1,0,9,0,2,-3,0,-2,0,2","-1,-2,-1,0,9,2,1,-3,0,-2,0,2",,1,6,"0,1,2,3,5","shifted,swapped","0,1,2,3,5",0,-3,Q-15-000-probe.wav,Q-15-001-shifted.wav,Q-15-002-swapped.wav
MEGp2000,6,16,2,"14,9,7,2,9,7,4,12,9,14,2,9","14,9,7,2,9,4,7,12,9,14,2,9","14,9,7,2,9,7,5,12,9,14,2,9",,1,6,"0,2,4,7,9","shifted,swapped","0,2,5,7,10",1,2,Q-16-000-probe.wav,Q-16-001-shifted.wav,Q-16-002-swapped.wav
MEGp2000,7,17,2,"11,8,3,-1,8,6,-1,8,1,8,-1,3","11,8,3,-1,8,-1,6,8,1,8,-1,3","11,8,3,-1,8,6,-2,8,1,8,-1,3",,-1,6,"0,2,4,7,9","swapped,shifted","0,2,4,7,9",0,-1,Q-17-000-probe.wav,Q-17-001-swapped.wav,Q-17-002-shifted.wav
MEGp2000,8,18,2,"-3,-1,2,-1,-3,-1,4,9,-1,-3,9,6","-3,-1,2,-1,-3,4,-1,9,-1,-3,9,6","-3,-1,2,-1,-3,-1,5,9,-1,-3,9,6",,1,6,"0,2,4,7,9","swapped,shifted","0,2,5,7,9",3,-3,Q-18-000-probe.wav,Q-18-001-swapped.wav,Q-18-002-shifted.wav
MEGp2000,9,19,2,"15,10,13,11,13,15,11,12,10,13,3,11","15,10,13,11,13,11,15,12,10,13,3,11","15,10,13,11,13,16,11,12,10,13,3,11",,1,5,"0,1,2,3,5","swapped,shifted","0,7,8,9,10",4,3,Q-19-000-probe.wav,Q-19-001-swapped.wav,Q-19-002-shifted.wav
MEGp2000,10,20,2,"-1,0,-1,2,-3,-1,9,0,9,-2,0,-1","-1,0,-1,2,-3,9,-1,0,9,-2,0,-1","-1,0,-1,2,-3,-1,8,0,9,-2,0,-1",,-1,6,"0,1,2,3,5","shifted,swapped","0,1,2,3,5",0,-3,Q-20-000-probe.wav,Q-20-001-shifted.wav,Q-20-002-swapped.wav
